id,tts
829276,Avenida De Vale Bem - Escola Básica / Associação
340953,Marisol ( Rua Manuel Fevereiro Número 5 )
517327,Marisol ( Rua Manuel Fevereiro Número 5 )
691678,Rua António Quadros 39 ( Aroeira )
743590,Rua António Quadros 39 ( Aroeira )
228395,Rua Soeiro Pereira Gomes 68 Á
314890,Rua Soeiro Pereira Gomes 68 Á
193837,Avenida Ilha Da Madeira 50 Á
525941,Avenida Ilha Da Madeira 50 Á
440820,Cruzamento Entre ( Avenida Mar ) E Rua José Malhoa ( Rotunda )
956007,Cruzamento Entre ( Avenida Mar ) E Rua José Malhoa ( Rotunda )
187820,Rua Soeiro Pereira Gomes 2
301269,Avenida De Vale Bem 35
383067,Charnéca De Caparíca ( Rua Pedro Costa ) Tremoceira
492675,Bairro Fundo Fomento Rua 3 Vales ( Escola Básica )
673871,Bairro Fundo Fomento Rua 3 Vales ( Escola Básica )
643859,Bairro Fundo Fomento ( Rua 3 Vales ( Número 65 ) )
365036,Bairro Fundo Fomento ( Rua 3 Vales ( Número 65 ) )
336634,Rua António Gião 14
644216,Rua António Gião 14
397324,Bairro Fundo Fomento ( Rua Miradouro Alfazina ) Terminal
668788,Bairro Fundo Fomento ( Rua Miradouro Alfazina ) Terminal
487763,Bairro Fundo Fomento ( Rua Moinho ( Número 11 ) )
981272,Bairro Fundo Fomento ( Rua Moinho ( Número 11 ) )
795286,Bairro Fundo Fomento ( Rua Moinho R 43 )
727667,Bairro Fundo Fomento ( Rua Moinho R 43 )
